handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
cc_hadoop,Hadoop 海外情報,372,16,1,1,283,0,2,225
HadoopTrainer,hadoop trainer,642,60,0,1,139,1,1,58
HadoopElephant,Hadoop Elephant,429,3,0,1,16,0,0,13
bigdatajoerossi,Big Data Joe,2243,1996,1,1,284,79,14,312
HadoopPredicts,HadoopPredicts,458,2,0,1,5,0,0,25
hadoopcasts,Hadoop Screencasts,378,6,0,1,0,0,0,38
TweetHadoop,Barnett Zheng,1832,15,1,1,179,0,0,46
isragaytan,Israel Gaytán,1983,12708,1,1,1726,711,59,1284
HadoopJobs,HadoopJobs,384,0,0,1,9,0,1,39
BlueBoxTraveler,Possibly Jakob Homan,1851,3336,1,1,671,498,65,997
TheHadoopBlog,The Hadoop Blog,191,4,0,1,4,0,0,16
sharad_ag,Sharad Agarwal,1812,511,1,1,322,15,42,806
markginnebaugh,Mark Ginnebaugh,1919,4202,1,1,1484,11,141,1921
hadoopistan,Hadoop Jobs,29,249,1,1,15,0,0,6
HadoopMan,HadoopMan,821,0,0,1,36,0,0,29
VirtualHadoop,Virtual Hadoop,447,33,0,1,26,1,0,36
HPAppsystem,Hadoop_AppSystem,366,34,0,1,56,1,0,22
HadoopIsrael,Hadoop Israel,1262,0,0,1,0,0,2,21
DadiCharles,DADI Charles-Abner,664,3405,0,1,805,319,29,1019
HadoopNet,HadoopNet,656,126,0,1,54,0,0,36
TimIntel,Tim R Allen,814,1608,1,1,2150,46,85,2257
EvaAndreasson,Eva Andreasson,897,2076,1,1,300,817,35,738
Nelitza,Nelitza,1853,1904,1,1,350,1,35,500
DaviddeBoer,David de Boer,2567,4933,1,1,766,2798,54,1376
stevenn,Steven Noels,2584,4965,1,1,848,14,99,1265
gregbayer,Greg Bayer,1981,2735,1,1,526,176,58,630
RafaelKnuth,Rafael Knuth,1351,6288,0,1,58,18,40,526
SQLforHadoop,SQL for Hadoop,364,3,0,1,11,0,0,16
ConanHadoop,Conan Hadoop,522,2,0,0,11,0,0,18
ronbodkin,Ron Bodkin,1980,300,1,1,173,0,64,838
ClouderaU,Cloudera University,1087,780,0,1,1412,1,128,2893
joshdsullivan,Josh Sullivan,2007,680,1,1,283,5,59,2279
marcholmes,Marc Holmes,2347,5014,0,1,554,12,66,874
hadoopdirectory,The Hadoop Directory,1568,1280,0,0,0,0,2,59
StefanGroschupf,Stefan Groschupf,804,1746,1,1,449,45,60,914
grep_alex,Alex Holmes,2585,319,1,1,175,21,22,402
oza_x86,oza,2186,38233,0,1,912,7869,197,1650
TIQView,Ralf Becher,1865,3902,1,1,1996,78,73,1618
HadoopNight,Hadoop Night,897,2,0,1,0,0,1,15
drianhowells,drianhowells,2165,965,1,1,659,3,85,895
GungorPolatkan,Gungor Polatkan,949,829,1,1,564,290,32,765
SQLCindy,Cindy Gross (SQL),1263,1294,1,1,2246,25,171,2790
Hadoop_Biruni,Mohamed Ghareeb,30,1,0,1,91,0,0,5
HadoopWrangler,Hadoop Wrangler,339,30,0,1,8,0,0,7
HireMobHadoop,HireMob Hadoop,240,97,0,1,0,0,0,5
hadoop007,julian,296,2,0,1,21,0,0,6
TanelPoder,Tanel Poder,1913,3292,1,1,126,168,131,3186
antoineguiral,Antoine Guiral,2317,22015,1,1,420,837,78,914
RideImpala,Cloudera Impala,153,153,1,1,1,0,21,533
Susan__OBrien,Susan O'Brien,2240,4073,1,1,515,190,34,681
pepperdata,Pepperdata,563,78,1,1,102,13,5,62
hadoopresearch,Hadoop Research,100,1,0,0,0,0,0,5
hamadakoichi,"濱田晃一, Ph.D.",1841,5352,1,1,905,1031,336,3121
nattyice,Jonathan Natkins,1890,2316,1,1,212,107,34,646
hornpolish,Paul Kent,1932,802,0,1,2000,9,95,1544
renatco,Renat Khasanshyn,1538,335,1,1,49,1511,24,405
cgerth,Charles Gerth,2092,2270,1,1,1361,19,32,1388
DataRush,Pervasive DataRush,1773,2445,1,1,1061,1,124,1333
enissoz,enissoz,2065,453,1,1,238,4,7,383
rrherr,Ryan Herr,1324,2379,0,1,350,2889,7,192
8maki,8maki,2592,6842,1,1,711,234,143,1591
mapastr,Mario Pastorelli,1227,1509,0,1,385,244,14,151
miguno,Michael G. Noll,1773,299,1,1,34,4,47,1104
prokopp,Christian Prokopp,1802,1176,1,1,473,112,75,927
d4rr3ll,Darrell Taylor,2729,1210,1,1,417,44,7,265
PavlikGreg,Greg Pavlik,811,522,0,1,97,5,17,295
tomassino,Tomislav Zorc,2241,1752,0,1,514,357,24,329
HadoopNinjas,Hadoop Ninjas,744,0,0,1,6,0,0,9
bigdata_hadoop,bigdata_hadoop,411,17,0,1,13,1,1,20
hadoop2k3,hadoop,276,3,0,1,0,0,0,5
Hadoopist,All things Hadoop,368,2,0,1,11,0,0,12
databuryat,Vadim Semenov,1733,28299,1,1,339,1569,52,588
HadoopSO,HadoopSO,431,1010,1,1,0,0,0,22
hadoop_guy,Pradeep Singh,268,1,0,1,16,0,0,3
hadoop69,abdulla hadoob,516,3,0,1,49,5,0,26
pangool_hadoop,Pangool,490,6,0,1,6,0,0,22
Hadoop444,Hadoop,181,1,0,1,20,0,0,14
HadoopOnline3,Hadoop Online,256,1,0,1,3,0,0,4
RameshHadoop,ramesh,64,1,0,1,55,0,0,3
HadoopInfo,Hadoop Bangalore,256,8,0,1,3,0,0,9
