handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
LewisAnalytics,Colin Lewis,1164,2391,1,1,287,77,53,515
RAIhome,Rosemount Analytical,1675,1289,1,1,1840,27,48,1860
F9Analytics,F9Analytics,497,331,1,1,1983,389,7,451
ny_analytics,New York Analytics,1658,323,0,1,1312,0,42,638
SASUK_VAnalytic,SAS Visual Analytics,451,1128,1,1,1087,2,48,1313
shoutanalytics,Shout Analytics,600,4488,1,1,1604,108,21,1094
Baseball_AMS,Baseball Analytics,749,347,1,1,146,0,5,179
ANALYTICSHULK,ANALYTICS HULK,965,80,0,1,334,0,30,358
GuardAnalytics,Guardian Analytics,1528,456,1,1,927,1,40,613
analytics_jobs,Web Analytics Jobs,1807,0,0,1,7,0,20,451
AuditAnalytics,Audit Analytics,827,665,1,1,521,1,23,783
NVAnalytical,Nevada Analytical,1860,3176,1,1,1861,1,7,1249
OMGannaks,Anna Smith,1368,3420,1,1,572,780,61,767
HoneywellGas,Honeywell Analytics,1060,771,1,1,532,11,29,1215
SAPAnalyticsAPJ,SAP Analytics APJ,1249,2363,1,1,515,9,52,1117
mc_webanalytics,Web Analytics,1791,528,1,1,1267,0,100,1537
Analytical360,ANALYTICAL 360,818,959,1,1,2008,18,21,1874
teoliphant,Travis Oliphant,1854,1743,1,1,198,192,199,3524
BostonAdvanced,Boston Adv Analytics,273,2462,1,1,1863,1017,17,591
TAMUAnalytics,Texas A&M Analytics,492,972,0,1,1246,3,17,602
Sysomos,Sysomos,2185,8406,1,1,884,259,1737,24349
NeilRaden,Neil Raden,2157,27670,1,1,1492,211,634,8577
analyticscanvas,Analytics Canvas,1322,677,0,1,266,12,48,500
HeitmanDaily,Heitman Analytics ,1477,146,1,1,1851,1,38,1298
AnalyticsCamp,AnalyticsCamp,1673,197,1,1,343,0,50,516
lynchpin,Lynchpin Analytics,1844,212,1,1,42,2,41,503
microstrategy,MicroStrategy,2183,4442,1,1,2113,166,682,23221
DarwinAnalytics,Darwin Analytics,731,672,1,1,605,335,32,868
usfca_analytics,MS in Analytics,237,14,0,1,39,0,4,88
JulienCoquet,Julien Coquet,2521,19488,1,1,1362,1062,257,2740
EnvironicsA,Environics Analytics,1938,693,1,1,324,206,48,779
infoadvantage,Anderson Analytics,1916,1125,1,1,41367,282,589,38679
nextanalytics,Next Analytics,1253,722,1,1,1282,0,34,616
ibm_ba_partner,Business Analytics,798,378,1,1,55,1,35,1054
analyticsjobs,Analytics Jobs,1728,17535,1,1,130,0,88,1553
Analytics_Sam,Sam Jones,574,244,1,1,1987,2,20,1209
analyticz,Analytics Zen,1289,20680,1,1,87,2,50,867
zthru_analytics,Z-thru Web Analytics,93,826,1,1,1977,234,15,1012
AnalyticsPRpro,David Olsen,892,836,1,1,1078,93,10,382
etmanalytics,ETM Analytics,960,566,1,1,610,4,14,655
utilanalytics,Utility Analytics ,666,194,1,1,1395,3,23,922
philmui,philmui,2097,362,1,1,171,31,182,2135
pwang,Peter Wang,2453,4976,1,1,431,467,172,2652
paulblaser,Paul Blaser,2186,8452,1,1,1441,5,136,2068
SomaAnalytics,SOMA Analytics,574,147,1,1,84,70,16,248
Sapiencedotnet,Sapience Analytics ,1268,5161,1,1,1582,29,20,9388
media_analytics,SocialMediaAnalytics,1624,1364,1,1,277,1,58,604
PaceLabs,Pace Analytical,1760,3353,1,1,2777,26,72,3000
CSC_Analytics,CSC Analytics,1129,1344,1,1,644,84,44,802
AnalyticsWeek,AnalyticsWeek,189,3819,0,1,229,4,32,547
JulienTollie,Afro Analytics,1436,1765,1,1,441,297,23,631
TextAnalysisPro,Text Analytics Pros,1359,1427,0,1,167,3,59,520
Google_Training,Google Analytics,1106,1277,1,1,281,0,49,846
pellucidapp,Pellucid Analytics,553,94,1,1,31,40,5,159
SASUK_Analytics,SAS UK Analytics,1087,1581,1,1,427,2,31,723
ClickTale,ClickTale,1953,2158,1,1,3751,662,342,8821
cwanalytics,Clearwater Analytics,1706,648,1,1,272,35,13,308
thinkanalytics,Think Analytics,1703,98,1,1,340,0,18,265
FE_Analytics,FE Analytics,721,1270,1,1,1032,59,19,867
frankolken,Frank Olken,1934,16529,1,1,2001,23,115,1168
KPInomics,Web Analytics Blogs,1849,6678,0,1,9,0,47,562
AnalyticsAward,Analytics Award,91,18,0,1,11,2,4,1073
WasabiAnalytics,Wasabi Analytics,1673,223,1,1,813,0,104,1098
AdsAppsAnalytic,AdsAppsAnalytics,1175,17,1,1,1586,1,20,1218
analytics20,Analytics 2.0,1618,170,0,1,1413,1,51,616
BriaAnalytics,Frank Bria,678,668,0,1,1064,1,19,694
clarioanalytics,Clario Analytics,2156,171,1,1,74,0,27,234
minethatdata,Kevin Hillstrom,1972,21389,1,1,151,188,507,5202
SmartAndFine_9,Recovering Overlover,1422,38057,1,1,1024,1062,12,569
RulerAnalytics,Ruler Analytics,673,254,1,1,235,28,7,666
analyticsfuture,Future of Analytics,1524,619,1,1,858,2,19,349
Princeton_SA,Princeton Analytics,567,176,0,1,60,2,4,133
RxAnalytics,RxAnalytics ,962,569,1,1,570,7,16,377
AnalyticMindLLC,Analytic Mind LLC,111,56,1,1,1900,29,7,544
ROI_Labs,Web Analytics Agency,1533,252,1,1,501,0,21,319
fl_analytics,Florida Analytics,1658,162,0,1,464,0,23,521
nbastats,NBA.com/Stats,1125,6414,1,1,53,12,2073,170230
dustinwhitney,Dustin Whitney,1946,1735,1,1,307,99,58,608
Zementis,Zementis,1826,2494,1,1,1171,18,185,1978
Cmrn_DP,Cam Davidson-Pilon,1059,1255,1,1,603,568,58,1291
analytics2014,Analytics2014,637,98,1,1,7,0,5,176
lawspendclarity,Sky Analytics,940,349,0,1,288,2,18,605
ROI_Analytica,ROI Analytics,974,30817,0,1,3116,0,82,3917
wowanalytics,WOW Analytics,1169,1227,1,1,4903,5,62,5452
IBMRisk,IBM Risk Analytics,770,565,1,1,120,1,37,753
Analyticsshare,Analytics share,647,4594,1,1,4017,0,125,3990
